All,Todos
"Gift Card: ","Cartão de Oferta: "
"Current Balance: ","Saldo Atual: "
"Expires: ","Expira em: "
"Please enter a valid gift card code.","Por favor insira um código de cartão de oferta válido."
"Add or remove gift cards","Adicionar ou remover cartões de oferta"
"Gift Card amount applied to order:","Montante do Cartão de Oferta aplicado à encomenda:"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Enviaram-lhe um cartão de oferta para usar na %store_name e já está pronto para ser usado em compras."
"Gift Card Code: %code","Código do Cartão de Oferta: %code"
"The card has a balance of %balance and can be used at ","O cartão tem um saldo de %balance e pode ser usado em "
"Apply Gift Card","Aplicar Cartão de Oferta"
"Gift Card:","Cartão de Oferta:"
"See Balance","Ver Saldo"
"Gift Card amount applied to order: ","Montante do Cartão de Oferta aplicado à encomenda: "
"Email Sent from Gift Card Account Management","Email Enviado da Gestão de Conta de Cartão de Oferta"
"Gift Card Email Sender","Remetente do Email de Cartão de Oferta"
"Gift Card Template","Template do Cartão de Oferta"
"Gift Card Account General Settings","Definições Gerais da Conta de Cartão de oferta"
"Code Length","Tamanho do Código"
"Excluding prefix, suffix and separators.","Excluindo o prefixo, sufixo e separadores."
"Code Format","Formato do Código"
"Code Prefix","Prefixo do Código"
"Code Suffix","Sufixo de código"
"Dash Every X Characters","Hífen a Cada X Caracteres"
"if empty no separation","se estiver vazio não há separação"
"New Pool Size","Nova Dimensão do Conjunto"
"Low Code Pool Threshold","Limite Mínimo do Conjunto de Códigos"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANTE: Certifique-se de que grava a sua configuração antes de executar o processo de geração."
"Are you sure you want to delete these gift card accounts?","Tem a certeza de que pretende eliminar estas contas de cartão de oferta?"
"Gift Messages are not applicable for empty cart","As Mensagens de Oferta não se aplicam a um carrinho de compras vazio"
"Gift Messages are not applicable for virtual products","As Mensagens de Oferta não se aplicam a produtos virtuais"
"Gift Message is not available","Não está disponível a Mensagem de Oferta"
"Could not add gift message to shopping cart","Não foi possível adicionar uma mensagem de oferta ao carrinho de compras"
"There is no item with provided id in the cart","Não existe nenhum item com o id fornecido no carrinho de compras"
"There is no product with provided  itemId: %1 in the cart","Não existe nenhum produto com o itemId fornecido: %1 no carrinho de compras"
"There is no item with provided id in the order","Não existe nenhum item com o id fornecido na encomenda"
"There is no item with provided id in the order or gift message isn't allowed","Não há nenhum artigo com o id fornecido no pedido ou a mensagem-presente não é permitida"
"Could not add gift message to order: ""%1""","Não foi possível adicionar uma mensagem de oferta à encomenda: ""%1"""
"There is no order with provided id or gift message isn't allowed","Não existe nenhuma encomenda com o id fornecido ou a mensagem de oferta não é permitida"
"There is no order with provided id","Não há nenhum pedido com o id fornecido"
"Gift Messages are not applicable for empty order","As Mensagens de Oferta não se aplicam a uma encomenda vazia"
"Could not add gift message to order's item: ""%1""","Não foi possível adicionar uma mensagem de oferta ao item da encomenda: ""%1"""
"Unknown entity type","Tipo de entidade desconhecida"
"Test label","Etiqueta de teste"
"Gift Options","Opções de Presente"
"Do you have any gift items in your order?","Pretende oferecer algum item da sua encomenda?"
"Add Gift Options","Adicionar Opções de Oferta"
"Gift Options for the Entire Order","Opções de Oferta para a Encomenda Inteira"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Deixe esta caixa em branco se não quiser deixar uma mensagem de oferta para toda a encomenda."
"Gift Options for Individual Items","Opções de Oferta para Itens Individuais"
"<span>Item %1</span> of %2","<span>Item %1</span> de %2"
"Leave a box blank if you don't want to add a gift message for that item.","Deixe a caixa em branco se não quiser deixar uma mensagem de oferta para esse item."
"Add Gift Options for the Entire Order","Adicionar Opções de Oferta para a Encomenda Inteira"
"You can leave this box blank if you don't want to add a gift message for this address.","Pode deixar esta caixa em branco se não quiser deixar uma mensagem de oferta para esta morada."
"Add Gift Options for Individual Items","Adicionar Opções de Oferta para Itens Individuais"
"You can leave this box blank if you don't want to add a gift message for the item.","Pode deixar esta caixa em branco se não quiser deixar uma mensagem de oferta para o item."
"Gift Message (optional)","Mensagem de Oferta (opcional)"
"Gift options","Opções de oferta"
"Allow Gift Messages on Order Level","Permitir Mensagens de Oferta ao Nível da Encomenda"
"Allow Gift Messages for Order Items","Permitir Mensagens de Oferta para Itens da Encomenda"
"Gift Messages is not applicable for empty cart","As Mensagens de Oferta não se aplicam a um carrinho de compras vazio"
"Gift Messages is not applicable for virtual products","As Mensagens de Oferta não se aplicam a produtos virtuais"
"Gift Messages is not applicable for empty order","As Mensagens de Oferta não se aplicam a uma encomenda vazia"
"Add gift options","Adicionar opções de oferta"
"Add gift options for Individual Items","Adicionar opções de oferta para Itens Individuais"
"Are you sure you want to delete this gift registry?","Tem a certeza que deseja excluir esta lista de ofertas?"
"Delete Registry","Excluir registo"
"Gift Registry Entity","Entidade da Lista de Ofertas"
"Product ID","ID de produto"
"Add to Gift Registry","Adicionar à Lista de Ofertas"
"Are you sure you want to add these products?","Tem a certeza que quer adicionar estes produtos?"
Requested,Solicitado
Fulfilled,Satisfeito
Note,Anotação
"Update Quantity","Atualizar Quantidade"
"Remove Item","Remover Item"
"Sharing Information","Informação de Partilha"
"Send From","Enviar a partir de"
"Share Gift Registry","Partilhar Lista de Ofertas"
"Gift Registry","Lista de Ofertas"
Event,Evento
Registrants,Registantes
"Event Date","Data do Evento"
"Total Items","Total de Itens"
Remaining,Restantes
Public,Pública
"Gift Registry Types","Tipos de Listas de Ofertas"
"Add Gift Registry Type","Adicionar Tipo de Lista de Ofertas"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Se apagar este tipo de lista de ofertas, também apagará todos as listas de clientes que utilizem este tipo. Deseja continuar?"
"Edit '%1' Gift Registry Type","Editar Tipo de Lista de Ofertas '%1'"
"New Gift Registry Type","Novo Tipo de Lista de Ofertas"
Short,Curto
Long,Longo
Full,Completo
"Is Listed","Está Listado"
"Edit Gift Registry","Editar Lista de Ofertas"
"Create Gift Registry","Criar Lista de Ofertas"
"Please select a region, state or province","Por favor selecione a região, concelho ou distrito"
"View Gift Registry %1","Ver Lista de Ofertas %1"
"Share '%1' Gift Registry","Partilhar Lista de Ofertas '%1'"
"Gift Registry Search","Pesquisar Lista de Ofertas"
"Select Search Type","Selecione o tipo de pesquisa"
Registrant,Registante
"Registry owner","Proprietário da Lista"
"Please correct the  gift registry ID.","Por favor corrija o id da Lista de Ofertas."
"Please correct the gift registry entity.","Por favor corrija a entidade da Lista de Ofertas."
"Shopping cart items have been added to gift registry.","Os itens do carrinho de compras foram adicionados à Lista de Ofertas."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Os produtos virtuais, com download e cartões de oferta não podem ser adicionados a listas de ofertas."
"We can't add shopping cart items to the gift registry right now.","De momento não é possível adicionar os itens do carrinho de compras à Lista de Ofertas."
"You deleted this gift registry entity.","Eliminou a entidade da Lista de Ofertas."
"We couldn't delete this gift registry entity.","Não foi possível eliminar a entidade da Lista de Ofertas."
"Edit '%1' Gift Registry","Editar Lista de Ofertas '%1'"
"Something went wrong while editing the gift registry.","Algo correu mal ao editar a Lista de Ofertas."
"Please enter at least one email address.","Por favor insira pelo menos um endereço de email."
"%1 email(s) were sent.","Foram enviados %1 email(s)."
"We couldn't send '%1 of %2 emails.","Não conseguimos enviar '%1 de %2 emails."
"You updated this gift registry.","Atualizou esta Lista de Ofertas."
"We can't update these gift registry items right now.","De momento não é possível atualizar estes itens da Lista de Ofertas."
"You deleted the gift registry type.","Eliminou o tipo de Lista de Ofertas."
"We couldn't delete this gift registry type.","Não foi possível eliminar este tipo de Lista de Ofertas."
"Edit Type","Editar Tipo"
"New Type","Novo Tipo"
"You saved the gift registry type.","Gravou o tipo de Lista de Ofertas."
"We can't save this gift registry type right now.","De momento não é possível gravar este tipo de Lista de Ofertas."
"Please correct the gift registry ID.","Por favor corrija o id da Lista de Ofertas."
"%1 item(s) have been added to the gift registry.","%1 Item(ns) foram adicionados para à Lista de Ofertas."
"We have nothing to add to this gift registry.","Não existe nada para adicionar a esta Lista de Ofertas."
"You can't add virtual products, digital products or gift cards to gift registries.","Não pode adicionar produtos virtuais, produtos digitais ou cartões de oferta às listas de ofertas."
"You deleted this gift registry.","Eliminou esta Lista de Ofertas."
